1, -47.74132297, -53.38068728, -59.90497175, -62.09226402, -61.29702752, -57.69004836, -47.74993272, -26.51930864, -23.18801579, -41.99034038,
2, -43.02328976, -51.13026072, -58.87247011, -61.54437349, -61.24485513, -58.03219862, -48.91806017, -35.65668403, -26.37154968, -35.75146321,
3, -36.21297823, -49.22261804, -58.20387257, -61.37530419, -61.64666865, -58.96387960, -51.21043452, -42.86162852, -35.14113050, -26.01000656,
4, -27.47163757, -47.87732482, -57.74379206, -61.31628803, -62.07160784, -59.84821588, -53.23819921, -47.42406737, -41.52462131, -22.58680055,
5, -23.71808712, -43.05217527, -55.09325743, -59.16546755, -60.12113942, -57.83872892, -50.96555909, -47.10700983, -44.25277596, -35.19595336,
6, -31.40945060, -36.21726352, -51.85992478, -56.66464424, -57.98011704, -55.77037546, -49.17127605, -48.29783247, -47.85601039, -42.65033939,
7, -37.69671137, -41.20011360, -53.11182128, -57.02677406, -57.46192369, -54.41040908, -45.47309296, -43.50284224, -44.53278595, -42.41362138,
8, -43.49836550, -45.22272537, -54.23349462, -57.31458669, -56.89337471, -52.97397440, -41.05780910, -38.07261801, -42.75904980, -44.71748570,
9, -47.59393671, -48.79670239, -55.71322187, -58.04195755, -56.87033091, -52.23504987, -37.37057971, -31.65896848, -42.08097215, -47.15071659,
10, -49.73861644, -47.75133300, -53.64091698, -55.72648142, -54.01751847, -48.38232597, -28.19913152, -38.93448110, -47.40101118, -50.72230579,
11, -45.71215304, -42.94959658, -51.76308512, -54.98680905, -54.46103719, -50.14189038, -37.44047033, -42.08039291, -47.21463989, -48.38102486,
12, -48.75537425, -41.87467014, -48.74585698, -51.94595127, -51.20169318, -46.39185741, -35.43344407, -46.40433521, -51.21272810, -51.95608056,
13, -46.43367555, -35.18165842, -46.22018002, -51.09757181, -51.89683591, -48.74927045, -42.04818476, -48.90932757, -52.06811406, -51.28518159,
14, -50.07319184, -37.13358040, -41.89811558, -47.17479158, -48.45299406, -45.88278248, -43.18646777, -51.85088372, -55.02304582, -54.44645347,
15, -52.00059176, -43.46827279, -46.00175121, -48.45069213, -47.04305060, -41.61272385, -36.89131479, -50.07501097, -54.49327280, -55.11834008,
16, -53.80515384, -47.87969708, -49.68435380, -50.58201994, -47.14828463, -38.49685738, -28.59515233, -48.60267177, -54.19452028, -55.88912727,
17, -55.65060962, -48.90731955, -47.99893913, -47.63549217, -42.59959802, -31.86728242, -36.50801352, -51.91278583, -56.66198658, -57.91839684,
18, -54.14940154, -45.06655282, -43.40838427, -44.73302546, -42.89500209, -38.30548198, -41.09365633, -52.94971246, -56.85488221, -57.25580071,
19, -52.72145952, -40.28798570, -37.34940362, -42.77463395, -45.21336482, -44.23998206, -45.69312317, -54.35033657, -57.31844864, -56.77406445,
20, -56.03553014, -45.86445027, -35.39852943, -35.40962781, -39.27903039, -41.94128627, -48.38611504, -56.89840656, -59.79025240, -59.49075090,
21, -55.00036380, -42.85571161, -23.54098967, -35.48035382, -44.42530752, -47.19882347, -50.95424551, -57.80157051, -60.07344725, -59.09912652,
22, -57.69957487, -47.79868595, -27.26783362, -22.92004651, -41.58729713, -47.42866795, -53.20864495, -59.81949929, -62.04200731, -61.28147286,
23, -58.12317556, -49.19137550, -36.91505604, -27.82505625, -34.52063102, -42.09649937, -50.76419081, -58.71887035, -61.47331681, -61.26111036,
24, -58.92875818, -51.16055540, -42.82522352, -35.18864588, -26.21966213, -36.18169857, -49.17041918, -58.16927611, -61.34464885, -61.61569947,
25, -59.77690403, -53.24994621, -47.76027556, -42.25415727, -24.56877575, -25.54411493, -47.39565848, -57.49223099, -61.14149972, -61.96010195,
