1,  2,  2, -47.41581629, -53.13629803, -59.75503137, -61.97829582, -61.20969834, -57.61051525, -47.64227689, -26.90969899, -23.55987724, -41.68531016,
2,  2,  4, -42.64472743, -50.99209864, -58.81962342, -61.52534450, -61.26310905, -58.08387040, -49.05389838, -36.21735602, -26.90969899, -35.20916595,
3,  2,  6, -36.21735602, -49.05389838, -58.08387040, -61.26310905, -61.52534450, -58.81962342, -50.99209864, -42.64472743, -35.20916595, -26.90969899,
4,  2,  8, -26.90969899, -47.64227689, -57.61051525, -61.20969834, -61.97829582, -59.75503137, -53.13629803, -47.41581629, -41.68531016, -23.55987724,
5,  4,  2, -47.14956128, -50.99209864, -57.85041698, -60.12700855, -59.16537612, -55.08805940, -43.03329847, -23.55987724, -35.20916595, -44.29433338,
6,  4,  4, -42.17825886, -48.13874857, -56.66942561, -59.56289325, -59.23290524, -55.71528325, -45.31216551, -35.20916595, -36.21735602, -40.01246768,
7,  4,  6, -35.20916595, -45.31216551, -55.71528325, -59.23290524, -59.56289325, -56.66942561, -48.13874857, -42.17825886, -40.01246768, -36.21735602,
8,  4,  8, -23.55987724, -43.03329847, -55.08805940, -59.16537612, -60.12700855, -57.85041698, -50.99209864, -47.14956128, -44.29433338, -35.20916595,
9,  6,  2, -47.92502521, -49.05389838, -55.81555438, -58.08387040, -56.84829195, -52.14922282, -37.01269855, -31.20657595, -42.17825886, -47.41581629,
10,  6,  4, -43.50863291, -45.31216551, -54.29401614, -57.36379884, -56.93636256, -53.01672638, -41.09509821, -37.93869895, -42.64472743, -44.66204499,
11,  6,  6, -37.93869895, -41.09509821, -53.01672638, -56.93636256, -57.36379884, -54.29401614, -45.31216551, -43.50863291, -44.66204499, -42.64472743,
12,  6,  8, -31.20657595, -37.01269855, -52.14922282, -56.84829195, -58.08387040, -55.81555438, -49.05389838, -47.92502521, -47.41581629, -42.17825886,
13,  8,  2, -49.50349683, -47.64227689, -53.67882886, -55.81555438, -54.17441508, -48.63689560, -29.05389838, -38.68633350, -47.14956128, -50.47772582,
14,  8,  4, -45.99454918, -43.03329847, -51.68065674, -54.86849916, -54.29401614, -49.90639292, -37.01269855, -42.17825886, -47.41581629, -48.63689560,
15,  8,  6, -42.17825886, -37.01269855, -49.90639292, -54.29401614, -54.86849916, -51.68065674, -43.03329847, -45.99454918, -48.63689560, -47.41581629,
16,  8,  8, -38.68633350, -29.05389838, -48.63689560, -54.17441508, -55.81555438, -53.67882886, -47.64227689, -49.50349683, -50.47772582, -47.14956128,
17, 10,  2, -51.51867741, -47.11569812, -51.51867741, -53.28765328, -51.01378627, -44.29433338, -23.03329847, -44.29433338, -51.01378627, -53.28765328,
18, 10,  4, -48.86178556, -42.11814866, -48.86178556, -51.99582563, -51.18536497, -46.29801723, -35.07449829, -46.29801723, -51.18536497, -51.99582563,
19, 10,  6, -46.29801723, -35.07449829, -46.29801723, -51.18536497, -51.99582563, -48.86178556, -42.11814866, -48.86178556, -51.99582563, -51.18536497,
20, 10,  8, -44.29433338, -23.03329847, -44.29433338, -51.01378627, -53.28765328, -51.51867741, -47.11569812, -51.51867741, -53.28765328, -51.01378627,
21, 12,  2, -53.67882886, -47.64227689, -49.50349683, -50.47772582, -47.14956128, -38.68633350, -29.05389838, -48.63689560, -54.17441508, -55.81555438,
