timestamp,latitude,longitude,altitude,speed,course,hacc
1668507093999,45.47863,9.22652,160.800,0.741,99.300,4.000
1668507094999,45.47863,9.22653,160.915,0.749,102.416,4.000
1668507095999,45.47863,9.22655,160.925,0.762,101.708,4.000
1668507096999,45.47863,9.22656,160.990,0.771,99.860,4.000
1668507097999,45.47862,9.22657,160.808,0.772,102.177,4.000
1668507098999,45.47862,9.22658,160.695,0.779,104.310,4.000
1668507099999,45.47862,9.22659,160.623,0.782,107.235,4.000
1668507100999,45.47862,9.22660,160.637,0.799,106.049,4.000
1668507101999,45.47861,9.22661,160.671,0.808,105.642,4.000
1668507102999,45.47861,9.22662,160.659,0.802,109.723,4.000
1668507103999,45.47861,9.22663,160.747,0.808,113.488,4.000
1668507104999,45.47860,9.22664,160.892,0.812,114.209,4.000
1668507105999,45.47860,9.22665,160.933,0.801,114.087,4.000
1668507106999,45.47860,9.22666,160.953,0.803,109.043,4.000
1668507107999,45.47859,9.22667,160.798,0.798,112.964,4.000
1668507108999,45.47859,9.22667,160.766,0.792,113.986,4.000
1668507109999,45.47859,9.22668,161.036,0.795,118.713,4.000
1668507110999,45.47858,9.22669,161.124,0.790,118.801,4.000
1668507111999,45.47858,9.22670,161.094,0.788,120.496,4.000
1668507112999,45.47858,9.22671,161.123,0.784,120.826,4.000
1668507113999,45.47857,9.22671,160.946,0.789,124.753,4.000
1668507114999,45.47857,9.22672,160.800,0.756,125.626,4.000
1668507115999,45.47857,9.22672,160.756,0.699,126.109,4.000
1668507116999,45.47856,9.22673,160.744,0.651,118.650,4.000
1668507117999,45.47856,9.22673,160.805,0.637,118.353,4.000
1668507118999,45.47856,9.22674,160.850,0.628,125.890,4.000
1668507119999,45.47856,9.22674,161.119,0.597,124.928,4.000
1668507120999,45.47856,9.22675,161.034,0.299,124.928,4.000
1668507121999,45.47856,9.22675,161.033,0.292,123.185,4.000
1668507122999,45.47855,9.22675,161.049,0.290,102.838,4.000
1668507123999,45.47855,9.22676,161.052,0.299,137.347,4.000
1668507124999,45.47855,9.22676,160.965,0.413,124.023,4.000
1668507125999,45.47855,9.22677,160.891,0.444,125.364,4.000
1668507126999,45.47854,9.22677,160.923,0.455,126.784,4.000
1668507127999,45.47854,9.22678,160.963,0.504,133.602,4.000
1668507128999,45.47854,9.22678,161.264,0.531,150.085,4.000
1668507129999,45.47853,9.22678,161.463,0.650,149.118,4.000
1668507130999,45.47852,9.22679,161.470,0.719,151.814,4.000
1668507131999,45.47852,9.22680,161.538,0.728,152.058,4.000
1668507132999,45.47851,9.22680,161.699,0.758,151.341,4.000
1668507133999,45.47850,9.22681,161.837,0.762,149.444,4.000
1668507134999,45.47850,9.22682,161.940,0.770,151.789,4.000
1668507135999,45.47849,9.22682,161.958,0.761,153.317,4.000
1668507136999,45.47849,9.22682,162.109,0.732,155.168,4.000
1668507137999,45.47848,9.22683,162.231,0.711,151.432,4.000
1668507138999,45.47848,9.22683,162.229,0.671,151.737,4.000
1668507139999,45.47847,9.22683,162.229,0.628,151.737,4.000
1668507140999,45.47847,9.22683,162.175,0.481,156.462,4.000
1668507141999,45.47847,9.22684,162.099,0.468,158.020,4.000
1668507142999,45.47847,9.22684,161.968,0.524,152.657,4.000
1668507143999,45.47846,9.22684,161.991,0.505,157.614,4.000
1668507144999,45.47846,9.22684,161.693,0.438,158.134,4.000
1668507145999,45.47845,9.22684,161.605,0.438,158.443,4.000
1668507146999,45.47845,9.22684,161.669,0.436,152.856,4.000
1668507147999,45.47845,9.22685,161.302,0.373,152.693,4.000
1668507148999,45.47844,9.22685,161.427,0.437,163.667,4.000
1668507149999,45.47844,9.22685,161.441,0.447,166.101,4.000
1668507150999,45.47843,9.22685,161.444,0.415,165.530,4.000
1668507151999,45.47843,9.22685,161.434,0.441,161.576,4.000
1668507152999,45.47842,9.22685,161.440,0.345,161.576,4.000
1668507153999,45.47842,9.22686,161.404,0.361,167.524,4.000
1668507154999,45.47841,9.22686,161.507,0.443,156.916,4.000
1668507155999,45.47841,9.22686,161.323,0.523,156.154,4.000
1668507156999,45.47840,9.22686,161.344,0.563,156.210,6.000
1668507157999,45.47840,9.22686,161.165,0.493,157.036,6.000
1668507158999,45.47839,9.22686,161.242,0.449,157.187,4.000
1668507159999,45.47839,9.22686,161.256,0.465,151.074,4.000
1668507160999,45.47838,9.22686,161.252,0.304,151.074,4.000
1668507161999,45.47838,9.22686,161.216,0.377,154.431,4.000
1668507162999,45.47837,9.22687,161.248,0.275,154.431,4.000
1668507163999,45.47837,9.22687,161.267,0.410,160.020,4.000
1668507164999,45.47837,9.22687,161.132,0.456,160.003,4.000
1668507165999,45.47836,9.22687,160.785,0.466,160.581,4.000
1668507166999,45.47836,9.22687,160.910,0.480,160.432,4.000
1668507167999,45.47836,9.22687,160.961,0.483,160.807,4.000
1668507168999,45.47835,9.22687,161.070,0.496,169.220,4.000
1668507169999,45.47835,9.22687,161.143,0.506,164.227,6.000
1668507170999,45.47834,9.22688,161.195,0.530,163.488,6.000
1668507171999,45.47834,9.22688,161.222,0.491,163.488,4.000
1668507172999,45.47834,9.22689,161.095,0.375,164.348,4.000
1668507173999,45.47833,9.22689,161.132,0.436,176.540,4.000
1668507174999,45.47833,9.22689,161.068,0.469,168.708,6.000
1668507175999,45.47832,9.22689,161.100,0.425,169.852,6.000
1668507176999,45.47832,9.22690,160.864,0.465,170.531,6.000
1668507177999,45.47832,9.22690,160.608,0.416,164.275,6.000
1668507178999,45.47831,9.22690,160.815,0.443,164.198,6.000
1668507179999,45.47831,9.22690,160.789,0.341,164.198,6.000
1668507180999,45.47830,9.22691,160.830,0.396,167.900,4.000
1668507181999,45.47830,9.22691,160.676,0.447,173.515,4.000
1668507182999,45.47830,9.22691,160.723,0.337,173.515,4.000
1668507183999,45.47829,9.22691,160.853,0.345,175.212,4.000
1668507184999,45.47829,9.22691,160.983,0.416,174.383,4.000
1668507185999,45.47828,9.22691,160.729,0.433,173.326,4.000
1668507186999,45.47828,9.22691,160.857,0.457,174.270,4.000
1668507187999,45.47827,9.22691,160.950,0.474,175.497,4.000
1668507188999,45.47827,9.22691,161.007,0.468,175.702,4.000
1668507189999,45.47827,9.22691,160.917,0.463,173.199,4.000
1668507190999,45.47826,9.22691,160.996,0.462,170.881,4.000
1668507191999,45.47826,9.22691,160.983,0.466,169.719,4.000
1668507192999,45.47825,9.22691,161.021,0.374,169.719,4.000
1668507193999,45.47825,9.22692,161.066,0.322,169.719,4.000
1668507194999,45.47825,9.22692,161.343,0.350,170.816,4.000
1668507195999,45.47824,9.22691,161.182,0.303,170.816,4.000
1668507196999,45.47824,9.22691,161.338,0.313,170.614,4.000
1668507197999,45.47824,9.22691,161.421,0.241,170.614,4.000
1668507198999,45.47824,9.22691,161.450,0.069,170.614,4.000
1668507199999,45.47824,9.22691,161.489,0.004,170.614,4.000
1668507200999,45.47824,9.22691,161.494,0.164,170.614,4.000
1668507201999,45.47824,9.22691,161.653,0.026,170.614,4.000
1668507202999,45.47824,9.22691,161.624,0.006,170.614,4.000
1668507203999,45.47825,9.22690,161.617,0.007,170.614,4.000
1668507204999,45.47825,9.22690,161.604,0.148,170.614,4.000
1668507205999,45.47825,9.22690,161.557,0.059,170.614,4.000
1668507206999,45.47825,9.22690,161.305,0.137,170.614,4.000
1668507207999,45.47825,9.22690,161.321,0.032,170.614,4.000
1668507208999,45.47825,9.22690,161.391,0.009,170.614,4.000
1668507209999,45.47825,9.22690,161.131,0.126,170.614,4.000
1668507210999,45.47825,9.22690,161.132,0.042,170.614,4.000
1668507212000,45.47825,9.22691,161.005,0.146,170.614,4.000
1668507213000,45.47825,9.22691,160.855,0.145,170.614,4.000
1668507214000,45.47824,9.22691,160.877,0.195,170.614,4.000
1668507215000,45.47824,9.22691,160.853,0.249,173.227,4.000
1668507216000,45.47824,9.22691,160.625,0.300,173.755,4.000
1668507217000,45.47823,9.22691,160.702,0.251,173.755,4.000
1668507218000,45.47823,9.22690,160.808,0.383,173.008,4.000
1668507219000,45.47822,9.22691,160.766,0.459,171.172,4.000
1668507220000,45.47822,9.22691,160.712,0.511,171.736,4.000
1668507221000,45.47821,9.22691,160.797,0.576,170.647,4.000
1668507222000,45.47820,9.22691,160.823,0.564,170.602,4.000
1668507223000,45.47820,9.22691,160.850,0.549,173.660,4.000
1668507224000,45.47820,9.22690,160.862,0.410,173.660,4.000
1668507225000,45.47820,9.22690,160.842,0.043,173.660,4.000
1668507226000,45.47820,9.22691,161.004,0.320,173.660,4.000
1668507227000,45.47820,9.22690,160.788,0.239,173.660,4.000
1668507228000,45.47820,9.22690,160.773,0.332,186.576,4.000
1668507229000,45.47820,9.22689,160.941,0.463,259.864,4.000
1668507230000,45.47820,9.22688,160.921,0.389,262.851,4.000
1668507231000,45.47820,9.22688,160.928,0.382,269.043,4.000
1668507232000,45.47820,9.22687,161.000,0.430,265.796,4.000
1668507233000,45.47820,9.22687,160.829,0.434,265.599,4.000
1668507234000,45.47820,9.22686,160.880,0.326,265.599,4.000
1668507235000,45.47820,9.22686,160.619,0.373,268.205,4.000
1668507236000,45.47820,9.22685,160.690,0.288,268.205,4.000
1668507237000,45.47820,9.22684,160.779,0.314,271.374,4.000
1668507238000,45.47820,9.22684,160.800,0.212,271.374,4.000
1668507239000,45.47820,9.22683,160.669,0.318,270.965,4.000
1668507240000,45.47820,9.22683,160.495,0.244,270.965,4.000
1668507241000,45.47820,9.22683,160.524,0.169,270.965,4.000
1668507242000,45.47820,9.22683,160.717,0.136,270.965,4.000
1668507243000,45.47820,9.22683,160.646,0.060,270.965,4.000
