Latitudine,Longitudine,Quota ellissoidica a terra,Epoche
45.478493753333,9.225788896667,160.196,1
45.478493956667,9.225788951667,160.200,1
45.478493998333,9.225788918333,160.206,1
45.478493268333,9.225789506667,160.225,1
45.478494031667,9.225789048333,160.248,1
45.478494646667,9.225788840000,160.253,1
45.478495900000,9.225790541667,160.273,1
45.478497715000,9.225794416667,160.259,1
45.478499535000,9.225798825000,160.282,1
45.478502216667,9.225803493333,160.307,1
45.478504610000,9.225808915000,160.300,1
45.478507303333,9.225814075000,160.304,1
45.478510326667,9.225819983333,160.325,1
45.478513306667,9.225825860000,160.338,1
45.478516278333,9.225832480000,160.312,1
45.478518963333,9.225838855000,160.317,1
45.478522015000,9.225845781667,160.327,1
45.478525608333,9.225852898333,160.338,1
45.478528800000,9.225859920000,160.340,1
45.478531676667,9.225867586667,160.335,1
45.478535500000,9.225875323333,160.318,1
45.478538613333,9.225882831667,160.333,1
45.478542111667,9.225890515000,160.342,1
45.478545571667,9.225898211667,160.335,1
45.478549303333,9.225906493333,160.325,1
45.478552368333,9.225914271667,160.322,1
45.478555818333,9.225923140000,160.332,1
45.478559070000,9.225931321667,160.343,1
45.478561673333,9.225939088333,160.346,1
45.478564683333,9.225947086667,160.326,1
45.478567946667,9.225956026667,160.319,1
45.478570995000,9.225964200000,160.342,1
45.478573711667,9.225972821667,160.361,1
45.478577090000,9.225981515000,160.357,1
45.478580220000,9.225989626667,160.377,1
45.478583436667,9.225998386667,160.356,1
45.478586553333,9.226006878333,160.332,1
45.478589931667,9.226015265000,160.339,1
45.478593166667,9.226023678333,160.334,1
45.478596150000,9.226032238333,160.328,1
45.478599270000,9.226041306667,160.357,1
45.478602063333,9.226049876667,160.367,1
45.478604696667,9.226059098333,160.361,1
45.478607443333,9.226067796667,160.375,1
45.478609953333,9.226076561667,160.352,1
45.478612488333,9.226085555000,160.360,1
45.478614545000,9.226095165000,160.356,1
45.478616861667,9.226103888333,160.369,1
45.478618916667,9.226113055000,160.400,1
45.478620811667,9.226122781667,160.424,1
45.478622588333,9.226131973333,160.413,1
45.478624550000,9.226141093333,160.419,1
45.478626260000,9.226150913333,160.420,1
45.478627666667,9.226160975000,160.441,1
45.478628908333,9.226170681667,160.458,1
45.478630561667,9.226180188333,160.474,1
45.478631901667,9.226189625000,160.476,1
45.478633210000,9.226198650000,160.465,1
45.478634163333,9.226208675000,160.476,1
45.478635393333,9.226218015000,160.501,1
45.478635943333,9.226227866667,160.506,1
45.478636855000,9.226237673333,160.516,1
45.478637241667,9.226246581667,160.530,1
45.478637490000,9.226255815000,160.532,1
45.478637946667,9.226265430000,160.539,1
45.478638410000,9.226275010000,160.544,1
45.478638455000,9.226284456667,160.550,1
45.478638268333,9.226293820000,160.559,1
45.478638021667,9.226303305000,160.556,1
45.478637978333,9.226312750000,160.556,1
45.478637791667,9.226321825000,160.560,1
45.478637620000,9.226332038333,160.604,1
45.478637095000,9.226341611667,160.601,1
45.478636403333,9.226350953333,160.620,1
45.478635341667,9.226360480000,160.602,1
45.478635208333,9.226369631667,160.618,1
45.478634628333,9.226380273333,160.641,1
45.478633891667,9.226389971667,160.637,1
45.478633276667,9.226400418333,160.665,1
45.478633006667,9.226410601667,160.657,1
45.478632155000,9.226420983333,160.676,1
45.478631323333,9.226431468333,160.694,1
45.478630088333,9.226441553333,160.715,1
45.478628771667,9.226450911667,160.741,1
45.478627663333,9.226461188333,160.719,1
45.478626770000,9.226471511667,160.730,1
45.478625856667,9.226481006667,160.759,1
45.478624350000,9.226491836667,160.775,1
45.478622786667,9.226502135000,160.769,1
45.478621195000,9.226513221667,160.774,1
45.478619986667,9.226522845000,160.797,1
45.478618121667,9.226533313333,160.804,1
45.478616195000,9.226543623333,160.799,1
45.478614350000,9.226554495000,160.813,1
45.478612376667,9.226564670000,160.843,1
45.478609790000,9.226574900000,160.851,1
45.478607003333,9.226584028333,160.849,1
45.478603850000,9.226592326667,160.829,1
45.478601251667,9.226600266667,160.845,1
45.478598385000,9.226610138333,160.862,1
45.478595565000,9.226619340000,160.870,1
45.478592433333,9.226629208333,160.892,1
45.478589136667,9.226637840000,160.893,1
45.478585886667,9.226647308333,160.924,1
45.478582790000,9.226656486667,160.935,1
45.478579248333,9.226665565000,160.945,1
45.478575831667,9.226674343333,160.938,1
45.478572585000,9.226681260000,160.959,1
45.478569991667,9.226686903333,160.971,1
45.478567911667,9.226691055000,161.002,1
45.478565408333,9.226696555000,160.976,1
45.478562958333,9.226702415000,160.974,1
45.478559676667,9.226708123333,160.988,1
45.478557233333,9.226713253333,161.031,1
45.478556881667,9.226713253333,161.031,1
45.478556371667,9.226715636667,161.037,1
45.478554431667,9.226720188333,161.059,1
45.478551180000,9.226725466667,161.044,1
45.478548390000,9.226730841667,161.060,1
45.478545931667,9.226737148333,161.044,1
45.478543116667,9.226743310000,161.047,1
45.478539163333,9.226748523333,161.047,1
45.478534535000,9.226752341667,161.051,1
45.478529610000,9.226756733333,161.051,1
45.478524706667,9.226760831667,161.055,1
45.478519528333,9.226764466667,161.054,1
45.478514378333,9.226767480000,161.064,1
